Date,Rating,Text
4 September 2017,Rated 3 stars out of five stars,"It would be FANTASTIC if it didn't show people in my recommended friends list who aren't from my city, state, or even country. I don't live in Saudi Arabia, India, Russia, or Pakistan. If there is a way to turn this off, that would be very much appreciated. Everything else is relatively fine. I just tried using location services, but it would still be nice to be able to restrict the areas where the recommend friends list searches. Sorry if this was a bit rantish. Edit: It didn't fkn work."
4 September 2017,Rated 1 stars out of five stars,"Ok so, this watch videos while browsing is the stupidest thing i have ever seen. I was scrolling in the video section and a clip of a guy getting his troath cut of by a chainsaw appeared. I quickly wanted to quit the video but it kept playing up in the corner for another 3 seconds. I have tried to find a way to disable this 'play while browsing' thing but cannot find it. Please remove it or make so you can disable it. Super frustrating."
3 September 2017,Rated 5 stars out of five stars,Hello facebook management😊 i just want to SUGGEST that in every photo album there is one button that saying private all photos or pictures.. or in every individual pictures there is also and option same as i mention above. so this way we will not open pictures one by one for me to make it private.. thank you so much #philippines
4 September 2017,Rated 5 stars out of five stars,"I wasn't using this app for about 2-3 months till now , because it was not optimized and was too laggy. But today when i accidentally update this app and giving it a try after that.... really facebook you have done a great job this time for optimizing this app. Now the app is looking simple and fast (which it have to be) . So thanks for this much needed update. device - samsung galaxy s7"
2 September 2017,Rated 1 stars out of five stars,Gone backwards. Let us choose the default order. And not as screen overlayed on the order you wyant us to use. And now I can't see the notifications tab from the 'Most recent' screen. And now it ignores my 'open links externally' preference for some sites. Tapping on a friend's comment highlighted beneath a long thread doesn't take me to the comment
1 September 2017,Rated 1 stars out of five stars,Facebook market place on my android phone crashes RELIGIOUSLY. also read fb is intentionally doing this to find out who stays. Either way thanks for the headache and frustration. Also...thanks for for banning my other accounts I used for role playing. Thanks for deleting important post you see as spam. And lastly thanks for deleting random hot female friends off my friends list. Tell mark sucker-berg he owes me one million bucks for pain and suffering.
4 September 2017,Rated 1 stars out of five stars,"Why is it so large just to be a glorified web page reader. And I get notifications even though I turned everything off in my profile. I have a feeling deleting facebook alltogether is next. So tired of the invasiveness. You click to hide something and it just stays in your feed. And now the marketplace in the feed that you can't get rid of. And the ""stories i have no interest in"". This app just gets worse and worse. Why do people have to plan events on here, I really want to just delete Facebook"
2 September 2017,Rated 1 stars out of five stars,"Wouldn't be better not to have the home page full of old posts from days ago, birthday wishes that show up for weeks and people becoming friend with people I don't know? I mean why on Earth a developer would code the newsfeed with such terrible rules? On top of ads, suggested posts, sponsored posts, useless posts of someone who liked a random group or shop or restaurant or whatever thing that I am not interested in. This is awful... Do Facebook developers actually use Facebook? It definitely doesn't seem so."
1 September 2017,Rated 1 stars out of five stars,"Your latest update sucks and I still can't watch videos. I can't seem to access the marketplace app either and I want to sell some things. My boyfriend has it on his phone, why can't I get it? I have already uninstalled and then reinstalled your app thinking that might remedy the problem, but it didn't work and every time I try to report the problem on your app itself, it just shuts down!"
2 September 2017,Rated 4 stars out of five stars,Okay so it looks cool but I seem to see little change in the app itself and don't download the new messenger either a real let down 😐 I mean. Come on Mark your people could keep it The same I just feel like it's a waste of space
