Date,Rating,Text
2 September 2017,Rated 3 stars out of five stars,Just Give Us a Option Of Sending Images In Multiple Quality.. Like... Low Medium High This Is The Only Need This App Needed.
2 September 2017,Rated 3 stars out of five stars,Hi I would like some help my freind from Albania says she has what's app and she is in my contacts but her name isn't showing up in the app IDK what to do
4 September 2017,Rated 4 stars out of five stars,"I just wished we could choose picture quality when sending images, as well as being able to erase ""recent emojis"""
4 September 2017,Rated 4 stars out of five stars,i just need the status sharing option with profile photo also so that we can share our profile photo with only those whom we want.
3 September 2017,Rated 3 stars out of five stars,My whatsapp version 2.17.323 Is very bad update plz improve it
4 September 2017,Rated 5 stars out of five stars,Add a local call option just like what's call for local and landline call it is very best and free idea for your business
4 September 2017,Rated 4 stars out of five stars,Please allow multi selection toward selecting attached pictures to delete from chat and phone storage
3 September 2017,Rated 1 stars out of five stars,Since the last update the media download is continuously failing fix it fast
4 September 2017,Rated 2 stars out of five stars,Latest update does not work properly with BlackBerry Priv. Gif bar no longer pops up so that you can see it.
4 September 2017,Rated 3 stars out of five stars,You need easier access to contact list
3 September 2017,Rated 5 stars out of five stars,great update just what i need is really useful
2 September 2017,Rated 5 stars out of five stars,Great... !!! need a improvement pic quality..
3 September 2017,Rated 4 stars out of five stars,Please make it for ZIP file upload supportable...
4 September 2017,Rated 5 stars out of five stars,WhatsApp updet karo backup aa raha hai isme ye nahi aana chahiye
2 September 2017,Rated 5 stars out of five stars,Very Usefully Messenger App
4 September 2017,Rated 5 stars out of five stars,Keep up the good work
2 September 2017,Rated 1 stars out of five stars,Love it bez of chatting with stickers
2 September 2017,Rated 5 stars out of five stars,Best in doing texting
3 September 2017,Rated 5 stars out of five stars,Super communication application
3 September 2017,Rated 5 stars out of five stars,It's the best
4 September 2017,Rated 5 stars out of five stars,He he he Nice
1 September 2017,Rated 5 stars out of five stars,Its Tha best
3 September 2017,Rated 5 stars out of five stars,It's excellent
4 September 2017,Rated 2 stars out of five stars,I like this
3 September 2017,Rated 5 stars out of five stars,Super app
2 September 2017,Rated 1 stars out of five stars,Time waste
2 September 2017,Rated 5 stars out of five stars,Nice & cool
2 September 2017,Rated 4 stars out of five stars,Nice update
